,image,measure,importance
0,1,relevant_fixdur,0.06692918192918193
1,1,redundant_fixdur,0.12476338476338478
2,1,relevant_fixnum,0.6771800421800422
3,1,redundant_fixnum,0.13112739112739114
4,2,relevant_fixdur,0.15124242424242423
5,2,redundant_fixdur,0.4031046176046176
6,2,relevant_fixnum,0.044658119658119645
7,2,redundant_fixnum,0.4009948384948386
8,3,relevant_fixdur,0.31920743518146116
9,3,redundant_fixdur,0.27650414637594123
10,3,relevant_fixnum,0.2320503770013574
11,3,redundant_fixnum,0.1722380414412402
12,4,relevant_fixdur,0.0
13,4,redundant_fixdur,0.0
14,4,redundant_fixnum,0.0
15,4,experience,0.0
16,5,relevant_fixdur,0.2694834054834055
17,5,redundant_fixdur,0.20346929789786933
18,5,relevant_fixnum,0.35101806130377555
19,5,redundant_fixnum,0.1760292353149496
20,6,relevant_fixdur,0.20572916666666666
21,6,redundant_fixdur,0.29878472222222224
22,6,relevant_fixnum,0.12291666666666667
23,6,redundant_fixnum,0.3725694444444444
24,7,relevant_fixdur,0.2412296384171384
25,7,redundant_fixdur,0.24840726743300276
26,7,relevant_fixnum,0.1938534844784845
27,7,redundant_fixnum,0.31650960967137437
28,8,relevant_fixdur,0.11746048704382037
29,8,redundant_fixdur,0.224626554001554
30,8,relevant_fixnum,0.2809130972513325
31,8,redundant_fixnum,0.37699986170329314
32,9,relevant_fixdur,0.19208225020129782
33,9,redundant_fixdur,0.317306495403134
34,9,relevant_fixnum,0.19570574487241157
35,9,redundant_fixnum,0.29490550952315664
36,10,relevant_fixdur,0.2102168033986216
37,10,redundant_fixdur,0.27475091575091576
38,10,relevant_fixnum,0.37272835928183523
39,10,redundant_fixnum,0.14230392156862742
40,11,relevant_fixdur,0.29946382189239323
41,11,redundant_fixdur,0.16693426943426945
42,11,relevant_fixnum,0.33161563436563435
43,11,redundant_fixnum,0.20198627430770286
44,12,relevant_fixdur,0.260772977022977
45,12,redundant_fixdur,0.2057106782106782
46,12,relevant_fixnum,0.22857226107226106
47,12,redundant_fixnum,0.3049440836940837
48,13,relevant_fixdur,0.20730235042735043
49,13,redundant_fixdur,0.22586038961038962
50,13,relevant_fixnum,0.30600391506641506
51,13,redundant_fixnum,0.2608333448958449
52,14,relevant_fixdur,0.27606504606504606
53,14,redundant_fixdur,0.28904007104007107
54,14,relevant_fixnum,0.23659931734931733
55,14,redundant_fixnum,0.19829556554556554
